Zaman_Adimi,Yil,Ay,Tarih,NDWI
131,1997,10,1997-10,-0.17909837588731556
132,1997,11,1997-11,-0.16214596732313347
133,1998,1,1998-01,-0.08804726422997222
134,1998,2,1998-02,-0.09647519027169522
135,1998,3,1998-03,-0.14118686441474465
136,1998,4,1998-04,-0.14827435228722088
137,1998,5,1998-05,-0.1640801404967564
138,1998,6,1998-06,-0.17434359952757336
139,1998,7,1998-07,-0.1642491546406992
140,1998,8,1998-08,-0.1613674656231317
141,1998,9,1998-09,-0.1590380139643134
142,1998,10,1998-10,-0.15464140340765822
143,1998,11,1998-11,-0.1370646586054594
144,1998,12,1998-12,-0.11537362771905481
145,1999,7,1999-07,-0.1609745564472595
146,1999,8,1999-08,-0.17145505097312327
147,1999,9,1999-09,-0.1664313548314226
148,1999,10,1999-10,-0.16495278452574477
149,2000,4,2000-04,-0.16333309264206802
150,2000,5,2000-05,-0.1783526446599223
151,2000,6,2000-06,-0.17290609701824655
152,2000,8,2000-08,-0.16740903675190175
153,2000,9,2000-09,-0.157469144559512
154,2000,10,2000-10,-0.08860562117491132
155,2000,11,2000-11,-0.18322330097087378
156,2001,1,2001-01,-0.15169699567470676
157,2001,4,2001-04,-0.1463799283154122
158,2001,5,2001-05,-0.15103572611207183
159,2001,7,2001-07,-0.1613376017279284
160,2001,8,2001-08,-0.16364434045042411
161,2001,10,2001-10,-0.129284332688588
162,2001,11,2001-11,-0.13267326732673268
163,2001,12,2001-12,-0.13184102329830974
164,2002,1,2002-01,-0.1357852964038784
165,2002,2,2002-02,-0.03490647256789544
166,2002,3,2002-03,-0.18170540372897434
167,2002,4,2002-04,-0.1678054808461147
168,2002,5,2002-05,-0.17428915705987086
169,2002,7,2002-07,-0.13692882752307575
170,2002,8,2002-08,-0.1639736684619988
171,2002,9,2002-09,-0.15094662734278375
172,2002,10,2002-10,-0.14655274712234484
173,2002,11,2002-11,-0.15026900779914085
174,2002,12,2002-12,-0.0330930399224316
175,2003,2,2003-02,-0.11162928418091643
176,2003,3,2003-03,-0.15967691829760794
